"s","birthDate"
"http://dbpedia.org/resource/Charles_de_Tinseau_d'Amondans",1748-04-19
"http://dbpedia.org/resource/Pietro_Cossali",1748-06-29
"http://dbpedia.org/resource/Isaac_Milner",1750-01-11
"http://dbpedia.org/resource/Gilbert_Romme",1750-03-26
"http://dbpedia.org/resource/Abraham_Robertson",1751-11-04
"http://dbpedia.org/resource/Adrien-Marie_Legendre",1752-09-18
"http://dbpedia.org/resource/Lazare_Carnot",1753-05-13
"http://dbpedia.org/resource/Nicola_Fergola",1753-10-29
"http://dbpedia.org/resource/Jurij_Vega",1754-03-23
"http://dbpedia.org/resource/Nicolas_Fuss",1755-01-29
"http://dbpedia.org/resource/Marc-Antoine_Parseval",1755-04-27
"http://dbpedia.org/resource/Gaspard_de_Prony",1755-07-22
"http://dbpedia.org/resource/Eusebio_Valli",1755-12-13
"http://dbpedia.org/resource/John_West_(mathematician)",1756-04-10
"http://dbpedia.org/resource/Thomas_Jones_(mathematician)",1756-06-23
"http://dbpedia.org/resource/Jan_Śniadecki",1756-08-29
"http://dbpedia.org/resource/Pietro_Paoli",1759-03-02
"http://dbpedia.org/resource/Jared_Mansfield",1759-05-23
"http://dbpedia.org/resource/Francisco_de_Borja_Garção_Stockler",1759-09-25
"http://dbpedia.org/resource/Louis_François_Antoine_Arbogast",1759-10-04
"http://dbpedia.org/resource/Christian_Kramp",1760-07-08
"http://dbpedia.org/resource/Auguste-Savinien_Leblond",1760-10-19
"http://dbpedia.org/resource/Josef_de_Mendoza_y_Ríos",1761-01-29
"http://dbpedia.org/resource/Blasius_Merrem",1761-02-04
"http://dbpedia.org/resource/Luca_de_Samuele_Cagnazzi",1764-10-28
"http://dbpedia.org/resource/James_Ivory_(mathematician)",1765-02-17
"http://dbpedia.org/resource/Sylvestre_François_Lacroix",1765-04-28
"http://dbpedia.org/resource/Peter_Nicholson_(architect)",1765-07-20
"http://dbpedia.org/resource/Paolo_Ruffini",1765-09-22
"http://dbpedia.org/resource/Pierre-Simon_Girard",1765-11-04
"http://dbpedia.org/resource/Johann_Friedrich_Pfaff",1765-12-22
"http://dbpedia.org/resource/John_Leslie_(physicist)",1766-04-10
"http://dbpedia.org/resource/François-Joseph_Servois",1767-07-18
"http://dbpedia.org/resource/Vincenzo_Brunacci",1768-03-03
"http://dbpedia.org/resource/Joseph_Fourier",1768-03-21
"http://dbpedia.org/resource/François_Français",1768-04-07
"http://dbpedia.org/resource/Jean-Robert_Argand",1768-07-18
"http://dbpedia.org/resource/Francisco_José_de_Caldas",1768-10-04
"http://dbpedia.org/resource/Li_Rui_(mathematician)",1768-12-08
"http://dbpedia.org/resource/Jean_Nicolas_Pierre_Hachette",1769-05-06
"http://dbpedia.org/resource/Johann_Christian_Martin_Bartels",1769-08-12
"http://dbpedia.org/resource/Joseph_Diez_Gergonne",1771-06-19
"http://dbpedia.org/resource/Archibald_Alexander",1772-04-17
"http://dbpedia.org/resource/John_William_Norie",1772-07-03
"http://dbpedia.org/resource/Nathaniel_Bowditch",1773-03-26
"http://dbpedia.org/resource/Joseph_Caldwell",1773-04-21
"http://dbpedia.org/resource/Robert_Woodhouse",1773-04-28
"http://dbpedia.org/resource/Johann_Karl_Burckhardt",1773-04-30
"http://dbpedia.org/resource/Louis-Benjamin_Francœur",1773-08-16
"http://dbpedia.org/resource/Jakob_Friedrich_Fries",1773-08-23
"http://dbpedia.org/resource/George_Cayley",1773-12-27
"http://dbpedia.org/resource/Olinthus_Gregory",1774-01-29
"http://dbpedia.org/resource/Karl_Mollweide",1774-02-03
"http://dbpedia.org/resource/Jean-Baptiste_Biot",1774-04-21
"http://dbpedia.org/resource/André-Marie_Ampère",1775-01-20
"http://dbpedia.org/resource/Farkas_Bolyai",1775-02-09
"http://dbpedia.org/resource/Étienne-Louis_Malus",1775-07-23
"http://dbpedia.org/resource/Enoch_Lewis_(mathematician)",1776-01-29
"http://dbpedia.org/resource/Sophie_Germain",1776-04-01
"http://dbpedia.org/resource/Józef_Maria_Hoene-Wroński",1776-08-23
"http://dbpedia.org/resource/Peter_Barlow_(mathematician)",1776-10-13
"http://dbpedia.org/resource/Carl_Friedrich_Gauss",1777-04-30
"http://dbpedia.org/resource/Daniel_Friedrich_Hecht",1777-07-08
"http://dbpedia.org/resource/Benjamin_Gompertz",1779-03-05
"http://dbpedia.org/resource/Ferdinand_Karl_Schweikart",1780-02-28
"http://dbpedia.org/resource/Joseph_Johann_von_Littrow",1781-03-13
"http://dbpedia.org/resource/Siméon_Denis_Poisson",1781-06-21
"http://dbpedia.org/resource/Bernard_Bolzano",1781-10-05
"http://dbpedia.org/resource/Giovanni_Plana",1781-11-06
"http://dbpedia.org/resource/David_Brewster",1781-12-11
"http://dbpedia.org/resource/Vincenzo_Flauti",1782-04-04
"http://dbpedia.org/resource/Olry_Terquem",1782-06-16
"http://dbpedia.org/resource/Claude-Louis_Mathieu",1783-11-25
"http://dbpedia.org/resource/Charles_Julien_Brianchon",1783-12-19
"http://dbpedia.org/resource/Samuel_Hunter_Christie",1784-03-22
"http://dbpedia.org/resource/Friedrich_Bessel",1784-07-22
"http://dbpedia.org/resource/Charles_Dupin",1784-10-06
"http://dbpedia.org/resource/Pierre-Dominique_Bazaine",1786-01-13
"http://dbpedia.org/resource/Jacques_Philippe_Marie_Binet",1786-02-02
"http://dbpedia.org/resource/François_Arago",1786-02-26
"http://dbpedia.org/resource/James_Thomson_(mathematician)",1786-11-13
"http://dbpedia.org/resource/Pierre_Charles_Alexandre_Louis",1787-04-14
"http://dbpedia.org/resource/Jean-Victor_Poncelet",1788-07-01
"http://dbpedia.org/resource/Antonio_Maria_Bordoni",1788-07-19
"http://dbpedia.org/resource/Björn_Gunnlaugsson",1788-09-25
"http://dbpedia.org/resource/Georg_Ohm",1789-03-16
"http://dbpedia.org/resource/Prosper_de_Mestre",1789-08-15
"http://dbpedia.org/resource/Augustin-Louis_Cauchy",1789-08-21
"http://dbpedia.org/resource/Theodore_Strong",1790-07-26
"http://dbpedia.org/resource/Charles_Terrot",1790-09-19
"http://dbpedia.org/resource/August_Ferdinand_Möbius",1790-11-17
"http://dbpedia.org/resource/George_Peacock",1791-04-09
"http://dbpedia.org/resource/Micajah_Burnett",1791-05-13
"http://dbpedia.org/resource/Victor-Amédée_Lebesgue",1791-10-02
"http://dbpedia.org/resource/John_Herschel",1792-03-07
"http://dbpedia.org/resource/Gaspard-Gustave_de_Coriolis",1792-05-21
"http://dbpedia.org/resource/Nikolai_Lobachevsky",1792-12-01
"http://dbpedia.org/resource/Théodore_Olivier",1793-01-14
"http://dbpedia.org/resource/William_Hopkins",1793-02-02
"http://dbpedia.org/resource/Michel_Chasles",1793-11-15
"http://dbpedia.org/resource/Gabrio_Piola",1794-07-15
"http://dbpedia.org/resource/Bernt_Michael_Holmboe",1795-03-23
"http://dbpedia.org/resource/Gabriel_Lamé",1795-07-22
"http://dbpedia.org/resource/Émile_Léger",1795-08-15
"http://dbpedia.org/resource/Olinde_Rodrigues",1795-10-06
"http://dbpedia.org/resource/Just_Mathias_Thiele",1795-12-13
"http://dbpedia.org/resource/Adolphe_Quetelet",1796-02-22
"http://dbpedia.org/resource/Jakob_Steiner",1796-03-18
"http://dbpedia.org/resource/Nikolai_Brashman",1796-06-14
"http://dbpedia.org/resource/Baden_Powell_(mathematician)",1796-08-22
"http://dbpedia.org/resource/Andreas_von_Ettingshausen",1796-11-25
"http://dbpedia.org/resource/Jean-Marie_Duhamel",1797-02-05
"http://dbpedia.org/resource/Georg_Frederik_Ursin",1797-06-20
"http://dbpedia.org/resource/Pierre_Joseph_Étienne_Finck",1797-10-15
"http://dbpedia.org/resource/Karl_Georg_Christian_von_Staudt",1798-01-24
"http://dbpedia.org/resource/Adolf_Ferdinand_Wenceslaus_Brix",1798-02-20
"http://dbpedia.org/resource/Pierre_Frédéric_Sarrus",1798-03-10
"http://dbpedia.org/resource/Christoph_Gudermann",1798-03-25
"http://dbpedia.org/resource/Étienne_Bobillier",1798-04-17
"http://dbpedia.org/resource/Franz_Ernst_Neumann",1798-09-11
"http://dbpedia.org/resource/Heinrich_Scherk",1798-10-27
"http://dbpedia.org/resource/Petrache_Poenaru",1799-01-10
"http://dbpedia.org/resource/Karl_Heinrich_Gräffe",1799-11-07
"http://dbpedia.org/resource/Karl_Wilhelm_Feuerbach",1800-05-30
"http://dbpedia.org/resource/Julius_Plücker",1801-06-16
"http://dbpedia.org/resource/George_Biddell_Airy",1801-07-27
"http://dbpedia.org/resource/Antoine_Augustin_Cournot",1801-08-28
"http://dbpedia.org/resource/Mikhail_Ostrogradsky",1801-09-24
"http://dbpedia.org/resource/Mary_Ann_Black",1801-10-01
"http://dbpedia.org/resource/Augustus_William_Smith",1802-05-12
"http://dbpedia.org/resource/Niels_Henrik_Abel",1802-08-05
"http://dbpedia.org/resource/Anton_Schrötter_von_Kristelli",1802-11-26
"http://dbpedia.org/resource/János_Bolyai",1802-12-15
"http://dbpedia.org/resource/Guglielmo_Libri_Carucci_dalla_Sommaja",1803-01-01
"http://dbpedia.org/resource/Édouard_Biot",1803-07-02
"http://dbpedia.org/resource/John_Hymers",1803-07-20
"http://dbpedia.org/resource/Jacques_Charles_François_Sturm",1803-09-29
"http://dbpedia.org/resource/Giusto_Bellavitis",1803-11-22
"http://dbpedia.org/resource/Christian_Doppler",1803-11-29
"http://dbpedia.org/resource/Elizur_Wright",1804-02-12
"http://dbpedia.org/resource/Carl_Gustav_Jacob_Jacobi",1804-12-10
"http://dbpedia.org/resource/Edward_Sang",1805-01-30
"http://dbpedia.org/resource/Peter_Gustav_Lejeune_Dirichlet",1805-02-13
"http://dbpedia.org/resource/Ferdinand_Minding",1806-01-11
"http://dbpedia.org/resource/Thomas_Kirkman",1806-03-31
"http://dbpedia.org/resource/Augustus_De_Morgan",1806-06-27
"http://dbpedia.org/resource/James_Henry_Coffin",1806-09-06
"http://dbpedia.org/resource/Joseph_Petzval",1807-01-06
"http://dbpedia.org/resource/Moritz_Abraham_Stern",1807-06-29
"http://dbpedia.org/resource/Philip_Kelland",1808-10-17
"http://dbpedia.org/resource/Friedrich_Julius_Richelot",1808-11-06
"http://dbpedia.org/resource/Emanuel_Björling",1808-12-02
"http://dbpedia.org/resource/Joseph_Liouville",1809-03-24
"http://dbpedia.org/resource/Benjamin_Peirce",1809-04-04
"http://dbpedia.org/resource/Hermann_Grassmann",1809-04-15
"http://dbpedia.org/resource/Ernst_Kummer",1810-01-29
"http://dbpedia.org/resource/Hayyim_Selig_Slonimski",1810-03-31
"http://dbpedia.org/resource/Urbain_Le_Verrier",1811-03-11
"http://dbpedia.org/resource/Andrew_Searle_Hart",1811-03-14
"http://dbpedia.org/resource/Otto_Hesse",1811-04-22
"http://dbpedia.org/resource/Elias_Loomis",1811-08-07
"http://dbpedia.org/resource/Évariste_Galois",1811-10-25
"http://dbpedia.org/resource/Quirico_Filopanti",1812-04-20
"http://dbpedia.org/resource/Adolph_Göpel",1812-09-29
"http://dbpedia.org/resource/Paolo_Gorini",1813-01-18
"http://dbpedia.org/resource/Robert_Richard_Anstice",1813-04-09
"http://dbpedia.org/resource/Frédéric_Ozanam",1813-04-23
"http://dbpedia.org/resource/Pierre_Alphonse_Laurent",1813-07-18
"http://dbpedia.org/resource/Radhanath_Sikdar",1813-10-05
"http://dbpedia.org/resource/Samuel_J._Kirkwood",1813-12-20
"http://dbpedia.org/resource/Ludwig_Schläfli",1814-01-15
"http://dbpedia.org/resource/John_Colenso",1814-01-24
"http://dbpedia.org/resource/Carl_Johan_Malmsten",1814-04-09
"http://dbpedia.org/resource/Ferdinando_Pio_Rosellini",1814-04-20
"http://dbpedia.org/resource/Daniel_da_Silva_(mathematician)",1814-05-16
"http://dbpedia.org/resource/Eugène_Charles_Catalan",1814-05-30
"http://dbpedia.org/resource/Pierre_Wantzel",1814-06-05
"http://dbpedia.org/resource/Alexander_John_Ellis",1814-06-14
"http://dbpedia.org/resource/James_Joseph_Sylvester",1814-09-03
"http://dbpedia.org/resource/Karl_Weierstrass",1815-10-31
"http://dbpedia.org/resource/Ada_Lovelace",1815-12-10
"http://dbpedia.org/resource/Jean_Frédéric_Frenet",1816-02-07
"http://dbpedia.org/resource/Rudolf_Wolf",1816-07-07
"http://dbpedia.org/resource/Carl_Wilhelm_Borchardt",1817-02-22
"http://dbpedia.org/resource/Angelo_Genocchi",1817-03-05
"http://dbpedia.org/resource/Charles_Auguste_Briot",1817-07-19
"http://dbpedia.org/resource/Charles_L._Reason",1818-07-21
"http://dbpedia.org/resource/Francis_Bashforth",1819-01-08
"http://dbpedia.org/resource/Benjamin_Fillon",1819-03-15
"http://dbpedia.org/resource/John_Couch_Adams",1819-06-05
"http://dbpedia.org/resource/Sir_George_Stokes,_1st_Baronet",1819-08-13
"http://dbpedia.org/resource/Joseph_Alfred_Serret",1819-08-30
"http://dbpedia.org/resource/Jean_Claude_Bouquet",1819-09-07
"http://dbpedia.org/resource/George_Salmon",1819-09-25
"http://dbpedia.org/resource/Pierre_Ossian_Bonnet",1819-12-22
"http://dbpedia.org/resource/Édouard_Roche",1820-10-17
"http://dbpedia.org/resource/Isaac_Todhunter",1820-11-23
"http://dbpedia.org/resource/Eduard_Heine",1821-03-16
"http://dbpedia.org/resource/Pafnuty_Chebyshev",1821-05-16
"http://dbpedia.org/resource/Arthur_Cayley",1821-08-16
"http://dbpedia.org/resource/Rudolf_Clausius",1822-01-02
"http://dbpedia.org/resource/Joseph_Bertrand",1822-03-11
"http://dbpedia.org/resource/John_Daniel_Runkle",1822-10-11
"http://dbpedia.org/resource/Charles_Hermite",1822-12-24
"http://dbpedia.org/resource/Jules_Hoüel",1823-04-07
"http://dbpedia.org/resource/Oskar_Schlömilch",1823-04-13
"http://dbpedia.org/resource/Gotthold_Eisenstein",1823-04-16
"http://dbpedia.org/resource/Enrico_Betti",1823-10-21
"http://dbpedia.org/resource/Leopold_Kronecker",1823-12-07
"http://dbpedia.org/resource/August_Davidov",1823-12-15
"http://dbpedia.org/resource/Samuel_F._Phillips",1824-02-18
"http://dbpedia.org/resource/William_Thomson,_1st_Baron_Kelvin",1824-06-26
"http://dbpedia.org/resource/Wawrzyniec_Żmurko",1824-07-09
"http://dbpedia.org/resource/George_Johnston_Allman",1824-09-28
"http://dbpedia.org/resource/Lorenzo_Respighi",1824-10-07
"http://dbpedia.org/resource/Francesco_Brioschi",1824-12-22
"http://dbpedia.org/resource/William_Spottiswoode",1825-01-11
"http://dbpedia.org/resource/Karl_Kořistka",1825-02-07
"http://dbpedia.org/resource/Francesco_Faà_di_Bruno",1825-03-07
"http://dbpedia.org/resource/Johann_Jakob_Balmer",1825-05-01
"http://dbpedia.org/resource/Thomas_Henry_Huxley",1825-05-04
"http://dbpedia.org/resource/Henry_Wilbraham",1825-07-25
"http://dbpedia.org/resource/John_James_Walker",1825-10-02
"http://dbpedia.org/resource/Carl_Anton_Bjerknes",1825-10-24
"http://dbpedia.org/resource/Giuseppe_Battaglini",1826-01-11
"http://dbpedia.org/resource/Joseph_Winlock",1826-02-06
"http://dbpedia.org/resource/Bernhard_Riemann",1826-09-17
"http://dbpedia.org/resource/Henry_John_Stephen_Smith",1826-11-02
"http://dbpedia.org/resource/Christian_Wiener",1826-12-07
"http://dbpedia.org/resource/Morris_Birkbeck_Pell",1827-03-31
"http://dbpedia.org/resource/Lajos_Martin",1827-08-30
"http://dbpedia.org/resource/Karl_Mikhailovich_Peterson",1828-05-25
"http://dbpedia.org/resource/Giuseppe_Bruno_(mathematician)",1828-06-21
"http://dbpedia.org/resource/W._H._Besant",1828-11-01
"http://dbpedia.org/resource/Heinrich_Schröter",1829-01-08
"http://dbpedia.org/resource/Ludvig_Lorenz",1829-01-18
"http://dbpedia.org/resource/Robert_McNair_Ferguson",1829-07-08
"http://dbpedia.org/resource/Norman_Macleod_Ferrers",1829-08-11
"http://dbpedia.org/resource/Joseph_Wolstenholme",1829-09-30
"http://dbpedia.org/resource/Elwin_Bruno_Christoffel",1829-11-10
"http://dbpedia.org/resource/Hubert_A._Newton",1830-03-19
"http://dbpedia.org/resource/Alexander_Johnson_(mathematician)",1830-08-01
"http://dbpedia.org/resource/Heinrich_Friedrich_Gretschel",1830-10-21
"http://dbpedia.org/resource/Emanuele_Fergola",1830-10-30
"http://dbpedia.org/resource/Edward_Routh",1831-01-20
"http://dbpedia.org/resource/James_Clerk_Maxwell",1831-06-13
"http://dbpedia.org/resource/Georg_Joseph_Sidler",1831-08-31
"http://dbpedia.org/resource/Richard_Dedekind",1831-10-06
"http://dbpedia.org/resource/Wilhelm_Fiedler",1832-04-03
"http://dbpedia.org/resource/Robert_Tucker_(mathematician)",1832-04-26
"http://dbpedia.org/resource/Carl_Neumann",1832-05-07
"http://dbpedia.org/resource/Rudolf_Lipschitz",1832-05-14
"http://dbpedia.org/resource/Eugène_Rouché",1832-08-18
"http://dbpedia.org/resource/Hermann_Kinkelin",1832-11-11
"http://dbpedia.org/resource/Peter_Ludwig_Mejdell_Sylow",1832-12-12
"http://dbpedia.org/resource/Alfred_Clebsch",1833-01-19
"http://dbpedia.org/resource/Lazarus_Fuchs",1833-05-05
"http://dbpedia.org/resource/Erastus_L._De_Forest",1834-06-27
"http://dbpedia.org/resource/John_Venn",1834-08-04
"http://dbpedia.org/resource/Isaac_Bradford",1834-11-15
"http://dbpedia.org/resource/Antanas_Baranauskas",1835-01-17
