"subject_uri","subjectBirthDate","r_property","target"
"http://dbpedia.org/resource/Willebrord_Snellius",1580-06-13,"almaMater","http://dbpedia.org/resource/University_of_Leiden"
"http://dbpedia.org/resource/John_Bainbridge_(astronomer)",1582,"almaMater","http://dbpedia.org/resource/Emmanuel_College,_Cambridge"
"http://dbpedia.org/resource/Peter_Turner_(mathematician)",1586,"almaMater","http://dbpedia.org/resource/University_of_Oxford"
"http://dbpedia.org/resource/Bonaventura_Cavalieri",1598,"almaMater","http://dbpedia.org/resource/University_of_Pisa"
"http://dbpedia.org/resource/Ovidio_Montalbani",1601-11-18,"almaMater","http://dbpedia.org/resource/University_of_Bologna"
"http://dbpedia.org/resource/Gilles_de_Roberval",1602-08-10,"institution","http://dbpedia.org/resource/University_of_Paris"
"http://dbpedia.org/resource/Gilles_de_Roberval",1602-08-10,"institution","http://dbpedia.org/resource/Gervais_College"
"http://dbpedia.org/resource/Gilles_de_Roberval",1602-08-10,"institution","http://dbpedia.org/resource/Royal_College_of_France"
"http://dbpedia.org/resource/John_Pell_(mathematician)",1611-03-01,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Thomas_Bartholin",1616-10-20,"almaMater","http://dbpedia.org/resource/University_of_Padua"
"http://dbpedia.org/resource/Jonas_Moore",1617,"institution","http://dbpedia.org/resource/Royal_Observatory,_Greenwich"
"http://dbpedia.org/resource/Johannes_Hudde",1628-04-23,"almaMater","http://dbpedia.org/resource/Leiden_University"
"http://dbpedia.org/resource/Richard_Towneley",1629-10-10,"almaMater","http://dbpedia.org/resource/University_of_Douai"
"http://dbpedia.org/resource/Francis_Willughby",1635-11-22,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Giovanni_Ceva",1647-09-01,"almaMater","http://dbpedia.org/resource/University_of_Pisa"
"http://dbpedia.org/resource/Giovanni_Ceva",1647-09-01,"almaMater","http://dbpedia.org/resource/Jesuit"
"http://dbpedia.org/resource/Giovanni_Ceva",1647-09-01,"institution","http://dbpedia.org/resource/University_of_Pisa"
"http://dbpedia.org/resource/Domenico_Guglielmini",1655-09-27,"almaMater","http://dbpedia.org/resource/University_of_Bologna"
"http://dbpedia.org/resource/Domenico_Guglielmini",1655-09-27,"institution","http://dbpedia.org/resource/University_of_Bologna"
"http://dbpedia.org/resource/Domenico_Guglielmini",1655-09-27,"institution","http://dbpedia.org/resource/University_of_Padua"
"http://dbpedia.org/resource/Sébastien_Truchet",1657,"institution","http://dbpedia.org/resource/Louis_XIV_of_France"
"http://dbpedia.org/resource/David_Gregory_(mathematician)",1659-06-03,"almaMater","http://dbpedia.org/resource/University_of_Aberdeen"
"http://dbpedia.org/resource/David_Gregory_(mathematician)",1659-06-03,"almaMater","http://dbpedia.org/resource/Marischal_College"
"http://dbpedia.org/resource/David_Gregory_(mathematician)",1659-06-03,"almaMater","http://dbpedia.org/resource/University_of_Leiden"
"http://dbpedia.org/resource/Thomas_Fantet_de_Lagny",1660-11-07,"institution","http://dbpedia.org/resource/French_Academy_of_Sciences"
"http://dbpedia.org/resource/Guillaume_de_l'Hôpital",1661,"institution","http://dbpedia.org/resource/French_academy_of_sciences"
"http://dbpedia.org/resource/John_Craig_(mathematician)",1663,"almaMater","http://dbpedia.org/resource/University_of_Edinburgh"
"http://dbpedia.org/resource/Nicolas_Fatio_de_Duillier",1664-02-26,"almaMater","http://dbpedia.org/resource/University_of_Geneva"
"http://dbpedia.org/resource/Abraham_de_Moivre",1667-05-26,"almaMater","http://dbpedia.org/resource/Academy_of_Saumur"
"http://dbpedia.org/resource/William_Whiston",1667-12-09,"institution","http://dbpedia.org/resource/Clare_College,_Cambridge"
"http://dbpedia.org/resource/Jacopo_Riccati",1676-05-28,"almaMater","http://dbpedia.org/resource/University_of_Padua"
"http://dbpedia.org/resource/Roger_Cotes",1682-07-10,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Brook_Taylor",1685-08-18,"almaMater","http://dbpedia.org/resource/St_John's_College,_Cambridge"
"http://dbpedia.org/resource/Robert_Smith_(mathematician)",1689-10-16,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Robert_Smith_(mathematician)",1689-10-16,"institution","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Gabriel_Cramer",1704-07-31,"almaMater","http://dbpedia.org/resource/University_of_Geneva"
"http://dbpedia.org/resource/Leonhard_Euler",1707-04-15,"almaMater","http://dbpedia.org/resource/University_of_Basel"
"http://dbpedia.org/resource/Vincenzo_Riccati",1707-01-11,"institution","http://dbpedia.org/resource/Pontifical_Gregorian_University"
"http://dbpedia.org/resource/Georges-Louis_Leclerc,_Comte_de_Buffon",1707-09-07,"institution","http://dbpedia.org/resource/Jardin_du_Roi"
"http://dbpedia.org/resource/Pietro_De_Martino",1707-05-31,"institution","http://dbpedia.org/resource/University_of_Naples"
"http://dbpedia.org/resource/James_Short_(mathematician)",1710-06-21,"almaMater","http://dbpedia.org/resource/University_of_Edinburgh"
"http://dbpedia.org/resource/Stephen_Whisson",1710,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Stephen_Whisson",1710,"institution","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/John_Winthrop_(educator)",1714-12-19,"almaMater","http://dbpedia.org/resource/Harvard_University"
"http://dbpedia.org/resource/Étienne_Bézout",1730-03-31,"institution","http://dbpedia.org/resource/French_Academy_of_Sciences"
"http://dbpedia.org/resource/Thomas_Postlethwaite",1731,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Thomas_Postlethwaite",1731,"institution","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/José_Celestino_Mutis",1732-04-06,"almaMater","http://dbpedia.org/resource/University_of_Seville"
"http://dbpedia.org/resource/Wenceslaus_Johann_Gustav_Karsten",1732-12-15,"almaMater","http://dbpedia.org/resource/University_of_Rostock"
"http://dbpedia.org/resource/Wenceslaus_Johann_Gustav_Karsten",1732-12-15,"institution","http://dbpedia.org/resource/University_of_Halle"
"http://dbpedia.org/resource/John_Dawson_(surgeon)",1734,"almaMater","http://dbpedia.org/resource/University_of_Edinburgh"
"http://dbpedia.org/resource/Antonio_Maria_Lorgna",1735-10-18,"almaMater","http://dbpedia.org/resource/University_of_Padua"
"http://dbpedia.org/resource/Joseph-Louis_Lagrange",1736-01-25,"almaMater","http://dbpedia.org/resource/University_of_Turin"
"http://dbpedia.org/resource/Jean_Sylvain_Bailly",1736-09-15,"almaMater","http://dbpedia.org/resource/Académie_française"
"http://dbpedia.org/resource/Jean_Sylvain_Bailly",1736-09-15,"almaMater","http://dbpedia.org/resource/French_Academy_of_Sciences"
"http://dbpedia.org/resource/Nicolas_Vilant",1737-06-12,"almaMater","http://dbpedia.org/resource/University_of_St_Andrews"
"http://dbpedia.org/resource/Israel_Lyons",1739,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Anders_Johan_Lexell",1740-12-24,"almaMater","http://dbpedia.org/resource/The_Royal_Academy_of_Turku"
"http://dbpedia.org/resource/Jacques-André_Mallet",1740-09-23,"almaMater","http://dbpedia.org/resource/University_of_Basel"
"http://dbpedia.org/resource/Jacques-André_Mallet",1740-09-23,"almaMater","http://dbpedia.org/resource/University_of_Geneva"
"http://dbpedia.org/resource/Anders_Johan_Lexell",1740-12-24,"institution","http://dbpedia.org/resource/Russian_Academy_of_Sciences"
"http://dbpedia.org/resource/Jacques-André_Mallet",1740-09-23,"institution","http://dbpedia.org/resource/University_of_Geneva"
"http://dbpedia.org/resource/Robert_Hamilton_(economist)",1743-06-11,"almaMater","http://dbpedia.org/resource/University_of_Edinburgh"
"http://dbpedia.org/resource/Marquis_de_Condorcet",1743-09-17,"almaMater","http://dbpedia.org/resource/College_of_Navarre"
"http://dbpedia.org/resource/Caspar_Wessel",1745-06-08,"almaMater","http://dbpedia.org/resource/University_of_Copenhagen"
"http://dbpedia.org/resource/William_Trail",1746-06-23,"almaMater","http://dbpedia.org/resource/University_of_Glasgow"
"http://dbpedia.org/resource/John_Cranke",1746,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Charles_de_Tinseau_d'Amondans",1748-04-19,"almaMater","http://dbpedia.org/resource/Mézières,_Ardennes"
"http://dbpedia.org/resource/Pietro_Cossali",1748-06-29,"institution","http://dbpedia.org/resource/University_of_Padua"
"http://dbpedia.org/resource/Pietro_Cossali",1748-06-29,"institution","http://dbpedia.org/resource/University_of_Parma"
"http://dbpedia.org/resource/Isaac_Milner",1750-01-11,"almaMater","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Adrien-Marie_Legendre",1752-09-18,"almaMater","http://dbpedia.org/resource/Collège_Mazarin"
"http://dbpedia.org/resource/Nicola_Fergola",1753-10-29,"almaMater","http://dbpedia.org/resource/University_of_Naples"
"http://dbpedia.org/resource/Jurij_Vega",1754-03-23,"almaMater","http://dbpedia.org/resource/Diploma"
"http://dbpedia.org/resource/Jurij_Vega",1754-03-23,"institution","http://dbpedia.org/resource/University_of_Applied_Sciences_Mainz"
"http://dbpedia.org/resource/Gaspard_de_Prony",1755-07-22,"institution","http://dbpedia.org/resource/École_Nationale_des_Ponts_et_Chaussées"
"http://dbpedia.org/resource/John_West_(mathematician)",1756-04-10,"almaMater","http://dbpedia.org/resource/University_of_St_Andrews"
"http://dbpedia.org/resource/Thomas_Jones_(mathematician)",1756-06-23,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Thomas_Jones_(mathematician)",1756-06-23,"almaMater","http://dbpedia.org/resource/St_John's_College,_Cambridge"
"http://dbpedia.org/resource/Thomas_Jones_(mathematician)",1756-06-23,"institution","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Jared_Mansfield",1759-05-23,"almaMater","http://dbpedia.org/resource/Yale_University"
"http://dbpedia.org/resource/Pietro_Paoli",1759-03-02,"almaMater","http://dbpedia.org/resource/University_of_Pisa"
"http://dbpedia.org/resource/Louis_François_Antoine_Arbogast",1759-10-04,"institution","http://dbpedia.org/resource/Collège_de_Colmar"
"http://dbpedia.org/resource/Louis_François_Antoine_Arbogast",1759-10-04,"institution","http://dbpedia.org/resource/École_d'Artillerie_de_Strasbourg"
"http://dbpedia.org/resource/Louis_François_Antoine_Arbogast",1759-10-04,"institution","http://dbpedia.org/resource/Université_de_Strasbourg"
"http://dbpedia.org/resource/Josef_de_Mendoza_y_Ríos",1761-01-29,"institution","http://dbpedia.org/resource/Royal_Society"
"http://dbpedia.org/resource/James_Ivory_(mathematician)",1765-02-17,"almaMater","http://dbpedia.org/resource/University_of_St_Andrews"
"http://dbpedia.org/resource/James_Ivory_(mathematician)",1765-02-17,"almaMater","http://dbpedia.org/resource/Edinburgh_University"
"http://dbpedia.org/resource/James_Ivory_(mathematician)",1765-02-17,"almaMater","http://dbpedia.org/resource/Dundee_Academy"
"http://dbpedia.org/resource/Johann_Friedrich_Pfaff",1765-12-22,"almaMater","http://dbpedia.org/resource/University_of_Göttingen"
"http://dbpedia.org/resource/Joseph_Fourier",1768-03-21,"almaMater","http://dbpedia.org/resource/École_Normale_Supérieure"
"http://dbpedia.org/resource/Vincenzo_Brunacci",1768-03-03,"almaMater","http://dbpedia.org/resource/University_of_Pisa"
"http://dbpedia.org/resource/Francisco_José_de_Caldas",1768-10-04,"almaMater","http://dbpedia.org/resource/Universidad_Santo_Tomás"
"http://dbpedia.org/resource/Johann_Christian_Martin_Bartels",1769-08-12,"almaMater","http://dbpedia.org/resource/University_of_Göttingen"
"http://dbpedia.org/resource/Johann_Christian_Martin_Bartels",1769-08-12,"almaMater","http://dbpedia.org/resource/University_of_Helmstedt"
"http://dbpedia.org/resource/Archibald_Alexander",1772-04-17,"almaMater","http://dbpedia.org/resource/Princeton_University"
"http://dbpedia.org/resource/Archibald_Alexander",1772-04-17,"almaMater","http://dbpedia.org/resource/Washington_&_Lee_University"
"http://dbpedia.org/resource/Robert_Woodhouse",1773-04-28,"almaMater","http://dbpedia.org/resource/Cambridge_University"
"http://dbpedia.org/resource/Joseph_Caldwell",1773-04-21,"almaMater","http://dbpedia.org/resource/Princeton_University"
"http://dbpedia.org/resource/Johann_Karl_Burckhardt",1773-04-30,"almaMater","http://dbpedia.org/resource/University_of_Leipzig"
"http://dbpedia.org/resource/John_Hudson_(mathematician)",1773,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/John_Hudson_(mathematician)",1773,"institution","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Jean-Baptiste_Biot",1774-04-21,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Farkas_Bolyai",1775-02-09,"almaMater","http://dbpedia.org/resource/University_of_Göttingen"
"http://dbpedia.org/resource/Farkas_Bolyai",1775-02-09,"almaMater","http://dbpedia.org/resource/University_of_Jena"
"http://dbpedia.org/resource/Carl_Friedrich_Gauss",1777-04-30,"almaMater","http://dbpedia.org/resource/Braunschweig_University_of_Technology"
"http://dbpedia.org/resource/Carl_Friedrich_Gauss",1777-04-30,"almaMater","http://dbpedia.org/resource/University_of_Göttingen"
"http://dbpedia.org/resource/Carl_Friedrich_Gauss",1777-04-30,"almaMater","http://dbpedia.org/resource/University_of_Helmstedt"
"http://dbpedia.org/resource/Carl_Friedrich_Gauss",1777-04-30,"institution","http://dbpedia.org/resource/University_of_Göttingen"
"http://dbpedia.org/resource/Ferdinand_Karl_Schweikart",1780-02-28,"almaMater","http://dbpedia.org/resource/University_of_Marburg"
"http://dbpedia.org/resource/David_Brewster",1781-12-11,"almaMater","http://dbpedia.org/resource/University_of_Edinburgh"
"http://dbpedia.org/resource/Joseph_Johann_von_Littrow",1781-03-13,"almaMater","http://dbpedia.org/resource/Charles_University"
"http://dbpedia.org/resource/Giovanni_Plana",1781-11-06,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Siméon_Denis_Poisson",1781-06-21,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Joseph_Johann_von_Littrow",1781-03-13,"institution","http://dbpedia.org/resource/University_of_Vienna"
"http://dbpedia.org/resource/Joseph_Johann_von_Littrow",1781-03-13,"institution","http://dbpedia.org/resource/Vienna_Observatory"
"http://dbpedia.org/resource/Joseph_Johann_von_Littrow",1781-03-13,"institution","http://dbpedia.org/resource/Jagiellonian_University"
"http://dbpedia.org/resource/Joseph_Johann_von_Littrow",1781-03-13,"institution","http://dbpedia.org/resource/Buda"
"http://dbpedia.org/resource/Joseph_Johann_von_Littrow",1781-03-13,"institution","http://dbpedia.org/resource/Kazan_State_University"
"http://dbpedia.org/resource/Siméon_Denis_Poisson",1781-06-21,"institution","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Siméon_Denis_Poisson",1781-06-21,"institution","http://dbpedia.org/resource/Bureau_des_Longitudes"
"http://dbpedia.org/resource/Siméon_Denis_Poisson",1781-06-21,"institution","http://dbpedia.org/resource/École_Spéciale_Militaire_de_Saint-Cyr"
"http://dbpedia.org/resource/Vincenzo_Flauti",1782-04-04,"almaMater","http://dbpedia.org/resource/University_of_Naples"
"http://dbpedia.org/resource/Charles_Julien_Brianchon",1783-12-19,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Samuel_Hunter_Christie",1784-03-22,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/François_Arago",1786-02-26,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Pierre-Dominique_Bazaine",1786-01-13,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Pierre-Dominique_Bazaine",1786-01-13,"institution","http://dbpedia.org/resource/French_Army"
"http://dbpedia.org/resource/Pierre_Charles_Alexandre_Louis",1787-04-14,"institution","http://dbpedia.org/resource/Pitié-Salpêtrière_Hospital"
"http://dbpedia.org/resource/Pierre_Charles_Alexandre_Louis",1787-04-14,"institution","http://dbpedia.org/resource/Hôtel-Dieu_de_Paris"
"http://dbpedia.org/resource/Antonio_Maria_Bordoni",1788-07-19,"almaMater","http://dbpedia.org/resource/University_of_Pavia"
"http://dbpedia.org/resource/Jean-Victor_Poncelet",1788-07-01,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Georg_Ohm",1789-03-16,"almaMater","http://dbpedia.org/resource/University_of_Erlangen"
"http://dbpedia.org/resource/Augustin-Louis_Cauchy",1789-08-21,"almaMater","http://dbpedia.org/resource/École_Nationale_des_Ponts_et_Chaussées"
"http://dbpedia.org/resource/Theodore_Strong",1790-07-26,"almaMater","http://dbpedia.org/resource/Yale_College"
"http://dbpedia.org/resource/Charles_Terrot",1790-09-19,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/August_Ferdinand_Möbius",1790-11-17,"institution","http://dbpedia.org/resource/University_of_Leipzig"
"http://dbpedia.org/resource/George_Peacock",1791-04-09,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Gaspard-Gustave_de_Coriolis",1792-05-21,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/John_Herschel",1792-03-07,"almaMater","http://dbpedia.org/resource/St_John's_College,_Cambridge"
"http://dbpedia.org/resource/Myrtil_Maas",1792,"almaMater","http://dbpedia.org/resource/École_normale_supérieure_(Paris)"
"http://dbpedia.org/resource/Théodore_Olivier",1793-01-14,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/William_Hopkins",1793-02-02,"almaMater","http://dbpedia.org/resource/Peterhouse,_Cambridge"
"http://dbpedia.org/resource/William_Hopkins",1793-02-02,"almaMater","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Michel_Chasles",1793-11-15,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/William_Hopkins",1793-02-02,"institution","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Gabrio_Piola",1794-07-15,"almaMater","http://dbpedia.org/resource/University_of_Pavia"
"http://dbpedia.org/resource/Bernt_Michael_Holmboe",1795-03-23,"almaMater","http://dbpedia.org/resource/University_of_Oslo"
"http://dbpedia.org/resource/Émile_Léger",1795-08-15,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Olinde_Rodrigues",1795-10-06,"almaMater","http://dbpedia.org/resource/University_of_Paris"
"http://dbpedia.org/resource/Andreas_von_Ettingshausen",1796-11-25,"almaMater","http://dbpedia.org/resource/University_of_Vienna"
"http://dbpedia.org/resource/Adolphe_Quetelet",1796-02-22,"almaMater","http://dbpedia.org/resource/University_of_Ghent"
"http://dbpedia.org/resource/Nikolai_Brashman",1796-06-14,"almaMater","http://dbpedia.org/resource/University_of_Vienna"
"http://dbpedia.org/resource/Nikolai_Brashman",1796-06-14,"almaMater","http://dbpedia.org/resource/Vienna_University_of_Technology"
"http://dbpedia.org/resource/Andreas_von_Ettingshausen",1796-11-25,"institution","http://dbpedia.org/resource/University_of_Innsbruck"
"http://dbpedia.org/resource/Andreas_von_Ettingshausen",1796-11-25,"institution","http://dbpedia.org/resource/University_of_Vienna"
"http://dbpedia.org/resource/Andreas_von_Ettingshausen",1796-11-25,"institution","http://dbpedia.org/resource/Vienna_University_of_Technology"
"http://dbpedia.org/resource/Pierre_Joseph_Étienne_Finck",1797-10-15,"almaMater","http://dbpedia.org/resource/École_Polytechnique"
"http://dbpedia.org/resource/Christoph_Gudermann",1798-03-25,"almaMater","http://dbpedia.org/resource/University_of_Göttingen"
"http://dbpedia.org/resource/Franz_Ernst_Neumann",1798-09-11,"almaMater","http://dbpedia.org/resource/University_of_Berlin"
"http://dbpedia.org/resource/Heinrich_Scherk",1798-10-27,"almaMater","http://dbpedia.org/resource/University_of_Berlin"
"http://dbpedia.org/resource/Karl_Georg_Christian_von_Staudt",1798-01-24,"almaMater","http://dbpedia.org/resource/University_of_Erlangen"
"http://dbpedia.org/resource/Karl_Heinrich_Gräffe",1799-11-07,"almaMater","http://dbpedia.org/resource/University_of_Göttingen"
"http://dbpedia.org/resource/Karl_Wilhelm_Feuerbach",1800-05-30,"almaMater","http://dbpedia.org/resource/University_of_Freiburg"
"http://dbpedia.org/resource/Julius_Plücker",1801-06-16,"almaMater","http://dbpedia.org/resource/University_of_Bonn"
"http://dbpedia.org/resource/Julius_Plücker",1801-06-16,"almaMater","http://dbpedia.org/resource/University_of_Marburg"
"http://dbpedia.org/resource/Julius_Plücker",1801-06-16,"almaMater","http://dbpedia.org/resource/University_of_Paris"
"http://dbpedia.org/resource/Julius_Plücker",1801-06-16,"almaMater","http://dbpedia.org/resource/University_of_Heidelberg"
"http://dbpedia.org/resource/Julius_Plücker",1801-06-16,"almaMater","http://dbpedia.org/resource/University_of_Berlin"
"http://dbpedia.org/resource/George_Biddell_Airy",1801-07-27,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Antoine_Augustin_Cournot",1801-08-28,"almaMater","http://dbpedia.org/resource/Sorbonne_University"
"http://dbpedia.org/resource/Mikhail_Ostrogradsky",1801-09-24,"almaMater","http://dbpedia.org/resource/University_of_Paris"
"http://dbpedia.org/resource/Mikhail_Ostrogradsky",1801-09-24,"almaMater","http://dbpedia.org/resource/University_of_Kharkiv"
"http://dbpedia.org/resource/Julius_Plücker",1801-06-16,"institution","http://dbpedia.org/resource/University_of_Bonn"
"http://dbpedia.org/resource/Julius_Plücker",1801-06-16,"institution","http://dbpedia.org/resource/University_of_Halle"
"http://dbpedia.org/resource/Julius_Plücker",1801-06-16,"institution","http://dbpedia.org/resource/University_of_Berlin"
"http://dbpedia.org/resource/Anton_Schrötter_von_Kristelli",1802-11-26,"almaMater","http://dbpedia.org/resource/University_of_Vienna"
"http://dbpedia.org/resource/Augustus_William_Smith",1802-05-12,"almaMater","http://dbpedia.org/resource/Hamilton_College_(New_York)"
"http://dbpedia.org/resource/Niels_Henrik_Abel",1802-08-05,"almaMater","http://dbpedia.org/resource/University_of_Oslo"
"http://dbpedia.org/resource/Anton_Schrötter_von_Kristelli",1802-11-26,"institution","http://dbpedia.org/resource/University_of_Vienna"
"http://dbpedia.org/resource/Christian_Doppler",1803-11-29,"almaMater","http://dbpedia.org/resource/Imperial–Royal_Polytechnic_Institute"
"http://dbpedia.org/resource/Christian_Doppler",1803-11-29,"almaMater","http://dbpedia.org/resource/Prague_Polytechnic"
"http://dbpedia.org/resource/Giusto_Bellavitis",1803-11-22,"almaMater","http://dbpedia.org/resource/University_of_Padua"
"http://dbpedia.org/resource/John_Hymers",1803-07-20,"almaMater","http://dbpedia.org/resource/St_John's_College,_Cambridge"
"http://dbpedia.org/resource/Guglielmo_Libri_Carucci_dalla_Sommaja",1803-01-01,"almaMater","http://dbpedia.org/resource/University_of_Pisa"
"http://dbpedia.org/resource/Giusto_Bellavitis",1803-11-22,"institution","http://dbpedia.org/resource/University_of_Padua"
"http://dbpedia.org/resource/John_Hymers",1803-07-20,"institution","http://dbpedia.org/resource/St_John's_College,_Cambridge"
"http://dbpedia.org/resource/Carl_Gustav_Jacob_Jacobi",1804-12-10,"almaMater","http://dbpedia.org/resource/Humboldt_University_of_Berlin"
"http://dbpedia.org/resource/Edward_Sang",1805-01-30,"almaMater","http://dbpedia.org/resource/University_of_Edinburgh"
"http://dbpedia.org/resource/Augustus_De_Morgan",1806-06-27,"almaMater","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Augustus_De_Morgan",1806-06-27,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Ferdinand_Minding",1806-01-11,"almaMater","http://dbpedia.org/resource/University_of_Halle"
"http://dbpedia.org/resource/Augustus_De_Morgan",1806-06-27,"institution","http://dbpedia.org/resource/University_College_London"
"http://dbpedia.org/resource/Augustus_De_Morgan",1806-06-27,"institution","http://dbpedia.org/resource/University_College_School"
"http://dbpedia.org/resource/Moritz_Abraham_Stern",1807-06-29,"institution","http://dbpedia.org/resource/University_of_Göttingen"
"http://dbpedia.org/resource/Friedrich_Julius_Richelot",1808-11-06,"almaMater","http://dbpedia.org/resource/University_of_Königsberg"
"http://dbpedia.org/resource/Philip_Kelland",1808-10-17,"almaMater","http://dbpedia.org/resource/Queens'_College,_Cambridge"
"http://dbpedia.org/resource/Robert_Stanton_Avery",1808,"almaMater","http://dbpedia.org/resource/Harvard_Divinity_School"
